feature,importance
pitch,0.10486186600419167
temporal_60s_longest_eye_closure,0.09901347479572332
temporal_60s_avg_blink_duration,0.08282825552710281
yaw,0.06362959951052345
roll,0.05674906323361735
temporal_60s_perclos_percent,0.054214346622406075
temporal_60s_head_pose_instability,0.04579007895202742
temporal_30s_longest_eye_closure,0.04410613058163066
temporal_60s_closed_eye_ratio,0.04271142410828446
temporal_60s_longest_side_look_duration,0.04031487031457686
temporal_30s_avg_blink_duration,0.0371197763364685
temporal_30s_head_pose_instability,0.03535771441810795
temporal_60s_side_look_duration,0.0329738371249519
temporal_60s_head_abnormal_duration,0.028963547857702224
temporal_60s_blink_rate_per_minute,0.02893305885105634
temporal_30s_perclos_percent,0.018168932749248638
temporal_30s_longest_side_look_duration,0.01685472175332368
mar,0.016702510368188518
temporal_30s_closed_eye_ratio,0.016259001700559165
temporal_30s_blink_rate_per_minute,0.016022627538169125
temporal_30s_side_look_duration,0.01545122557634632
temporal_60s_blink_count,0.014539940004883671
ear,0.012810802121189804
temporal_30s_head_abnormal_duration,0.012130486509258166
temporal_60s_slow_blink_count,0.011309694661648077
temporal_10s_longest_eye_closure,0.008444302296666921
temporal_60s_longest_head_down_duration,0.007859883750736589
temporal_10s_avg_blink_duration,0.0071788851870604195
temporal_60s_head_down_duration,0.006804295946058433
temporal_10s_blink_rate_per_minute,0.0047073085259943925
temporal_60s_heavy_eye_ratio,0.003960913647240011
temporal_30s_heavy_eye_ratio,0.0029244098307114365
temporal_30s_longest_head_down_duration,0.002683664606110986
temporal_30s_slow_blink_count,0.002674378241519888
temporal_30s_head_down_duration,0.0022379321589167866
temporal_10s_perclos_percent,0.0011766528640462038
temporal_10s_closed_eye_ratio,0.0010383913991411197
temporal_10s_heavy_eye_ratio,0.0002960258626491132
temporal_10s_slow_blink_count,0.00014254896428059384
temporal_60s_microsleep_event_count,5.339702001191467e-05
temporal_60s_microsleep_active,2.2477669126778612e-08
temporal_60s_microsleep_recent,2.938400427149466e-17
yawn_count_60s,0.0
yawn_count_120s,0.0
avg_yawn_duration_60s,0.0
avg_yawn_duration_120s,0.0
max_yawn_duration,0.0
long_yawn_count,0.0
