feature,importance
pitch,0.10609247391967089
temporal_60s_longest_eye_closure,0.07926850118258073
roll,0.06630731895896556
temporal_60s_blink_rate_per_minute,0.0653569277224798
temporal_60s_avg_blink_duration,0.061818595216391575
yaw,0.056792631994314835
temporal_60s_head_pose_instability,0.05434377718884419
temporal_60s_perclos_percent,0.049519318923267726
temporal_30s_head_pose_instability,0.03961528398552084
temporal_60s_closed_eye_ratio,0.037154408870355676
temporal_60s_head_abnormal_duration,0.03479378466621377
temporal_30s_longest_eye_closure,0.03410588124719185
temporal_60s_longest_side_look_duration,0.03205975228693968
temporal_60s_side_look_duration,0.03144217465728119
temporal_30s_avg_blink_duration,0.03059382041995128
temporal_30s_blink_rate_per_minute,0.024979197964710702
temporal_60s_blink_count,0.02422274027914849
temporal_30s_longest_side_look_duration,0.019896291940749253
temporal_30s_head_abnormal_duration,0.018738401065610075
temporal_30s_side_look_duration,0.017761180071337514
temporal_30s_perclos_percent,0.014822824288311784
ear,0.014253925067601474
mar,0.013707619558272844
temporal_30s_closed_eye_ratio,0.012929534907876662
temporal_60s_head_down_duration,0.008869704483795498
temporal_10s_blink_rate_per_minute,0.008529963375071012
temporal_60s_longest_head_down_duration,0.007259743731683626
temporal_10s_longest_eye_closure,0.005723252813023819
temporal_60s_heavy_eye_ratio,0.005568803748930545
temporal_10s_avg_blink_duration,0.005547879091253642
temporal_60s_slow_blink_count,0.004885579553342543
temporal_30s_heavy_eye_ratio,0.003042542361435755
temporal_30s_head_down_duration,0.0025243388623216166
temporal_30s_longest_head_down_duration,0.0019690091087543626
temporal_10s_perclos_percent,0.001836430973400919
temporal_30s_slow_blink_count,0.001788624263974268
temporal_10s_closed_eye_ratio,0.0015137176338982227
temporal_10s_slow_blink_count,0.00017851625526352802
temporal_10s_heavy_eye_ratio,0.00013786349588558962
temporal_60s_microsleep_event_count,4.756897514259608e-05
temporal_60s_microsleep_recent,9.488923410842726e-08
temporal_60s_microsleep_active,1.2180024625977363e-18
yawn_count_60s,0.0
yawn_count_120s,0.0
avg_yawn_duration_60s,0.0
avg_yawn_duration_120s,0.0
max_yawn_duration,0.0
long_yawn_count,0.0
