feature,importance
temporal_60s_blink_rate_per_minute,0.13859543
temporal_60s_head_abnormal_duration,0.112866975
temporal_60s_heavy_eye_ratio,0.07670751
temporal_60s_longest_eye_closure,0.063251644
temporal_60s_perclos_percent,0.05744663
temporal_30s_heavy_eye_ratio,0.05671751
temporal_60s_side_look_duration,0.0456963
temporal_60s_longest_side_look_duration,0.045421906
temporal_30s_head_down_duration,0.04540013
pitch,0.039952945
temporal_30s_head_abnormal_duration,0.03914815
roll,0.038024396
temporal_60s_avg_blink_duration,0.028630188
yaw,0.019635232
temporal_10s_longest_eye_closure,0.018728202
temporal_60s_blink_count,0.015471837
temporal_60s_head_pose_instability,0.015314019
temporal_30s_longest_eye_closure,0.014566423
temporal_60s_head_down_duration,0.014314908
temporal_30s_slow_blink_count,0.014299597
temporal_30s_avg_blink_duration,0.012253022
temporal_30s_side_look_duration,0.011587382
temporal_30s_longest_side_look_duration,0.010490845
temporal_30s_head_pose_instability,0.010000576
temporal_30s_perclos_percent,0.008963922
temporal_60s_longest_head_down_duration,0.008498402
mar,0.008469753
ear,0.0075725256
temporal_60s_closed_eye_ratio,0.0057314197
temporal_30s_blink_rate_per_minute,0.005213398
temporal_10s_blink_rate_per_minute,0.0044969004
temporal_10s_avg_blink_duration,0.0024602443
temporal_30s_longest_head_down_duration,0.0018649459
temporal_10s_perclos_percent,0.0012771019
temporal_30s_closed_eye_ratio,0.00081497984
temporal_10s_closed_eye_ratio,0.000114647184
temporal_10s_slow_blink_count,0.0
temporal_10s_heavy_eye_ratio,0.0
temporal_60s_microsleep_recent,0.0
temporal_60s_microsleep_active,0.0
temporal_60s_slow_blink_count,0.0
temporal_60s_microsleep_event_count,0.0
yawn_count_60s,0.0
yawn_count_120s,0.0
avg_yawn_duration_60s,0.0
avg_yawn_duration_120s,0.0
max_yawn_duration,0.0
long_yawn_count,0.0
