feature,importance
temporal_60s_longest_eye_closure,0.11033866992747841
temporal_60s_avg_blink_duration,0.0894528153915305
pitch,0.08668743990107522
yaw,0.0676351426667161
roll,0.06041834621089414
temporal_60s_head_pose_instability,0.051067660153073804
temporal_60s_blink_rate_per_minute,0.04350190157203611
temporal_30s_longest_eye_closure,0.043100319147170975
temporal_30s_avg_blink_duration,0.039693793435197446
temporal_30s_head_pose_instability,0.03750261625900552
temporal_60s_perclos_percent,0.0361267485005021
temporal_60s_longest_side_look_duration,0.032878350195841614
temporal_60s_side_look_duration,0.030907595217836557
temporal_60s_head_abnormal_duration,0.029745813790008218
temporal_60s_closed_eye_ratio,0.02836882465069763
ear,0.027424981428580256
temporal_30s_blink_rate_per_minute,0.0223613270815482
mar,0.021528091089239403
temporal_30s_side_look_duration,0.015482890311789848
temporal_30s_head_abnormal_duration,0.01406126133304344
temporal_30s_perclos_percent,0.013808613722657521
temporal_30s_longest_side_look_duration,0.013757108289044298
temporal_60s_blink_count,0.012994265790300698
temporal_30s_closed_eye_ratio,0.01093237499875445
temporal_60s_longest_head_down_duration,0.010160795429767253
temporal_60s_head_down_duration,0.0095141144760683
temporal_10s_blink_rate_per_minute,0.007983695482316193
temporal_10s_longest_eye_closure,0.007155194333228154
temporal_10s_avg_blink_duration,0.006848783306271665
temporal_60s_slow_blink_count,0.005750046423142356
temporal_30s_longest_head_down_duration,0.0033144062496888657
temporal_30s_head_down_duration,0.0026685306540371783
temporal_10s_perclos_percent,0.0015564837863293556
temporal_30s_slow_blink_count,0.001527900482566387
temporal_10s_closed_eye_ratio,0.0011780995051986003
temporal_60s_heavy_eye_ratio,0.0010982980820500798
temporal_30s_heavy_eye_ratio,0.0008396939404923115
temporal_60s_microsleep_event_count,0.0003164927558853768
temporal_10s_slow_blink_count,0.00022941535664140026
temporal_10s_heavy_eye_ratio,7.771334158464347e-05
temporal_60s_microsleep_active,2.575384859778191e-06
temporal_60s_microsleep_recent,8.099458498151798e-07
yawn_count_60s,0.0
yawn_count_120s,0.0
avg_yawn_duration_60s,0.0
avg_yawn_duration_120s,0.0
max_yawn_duration,0.0
long_yawn_count,0.0
