feature,importance
pitch,0.0886689725461125
temporal_60s_longest_eye_closure,0.07690111452790815
temporal_60s_avg_blink_duration,0.06431158858718515
temporal_60s_perclos_percent,0.0568520266475531
temporal_60s_blink_rate_per_minute,0.04660720108376284
temporal_60s_head_pose_instability,0.046185863341395204
temporal_60s_closed_eye_ratio,0.04505731090560179
roll,0.0425179170524522
temporal_30s_head_pose_instability,0.03935770261586069
yaw,0.03916486083846846
temporal_30s_longest_eye_closure,0.03888725271107539
temporal_60s_longest_side_look_duration,0.030432696597112133
temporal_30s_avg_blink_duration,0.029960771276839413
temporal_60s_head_abnormal_duration,0.029704314848922553
temporal_60s_side_look_duration,0.029540611453759705
mar,0.02031029344105963
yawn_count_120s,0.019524826844205773
temporal_30s_perclos_percent,0.019421505780205902
ear,0.01911016787870671
max_yawn_duration,0.01730845015083729
temporal_30s_side_look_duration,0.01700375185421588
temporal_30s_head_abnormal_duration,0.016742977300328657
temporal_30s_blink_rate_per_minute,0.01651085440886025
temporal_30s_longest_side_look_duration,0.016283941319353033
yawn_count_60s,0.015292040081356475
avg_yawn_duration_120s,0.01504852106909609
temporal_60s_blink_count,0.014942635539371356
avg_yawn_duration_60s,0.014831940280478788
temporal_30s_closed_eye_ratio,0.013560918187778392
temporal_10s_longest_eye_closure,0.007142726713025724
temporal_10s_avg_blink_duration,0.006984207842911503
temporal_10s_blink_rate_per_minute,0.006526065991002644
temporal_60s_head_down_duration,0.006253942042413559
temporal_60s_slow_blink_count,0.005753906675496061
temporal_60s_longest_head_down_duration,0.005166525119739126
temporal_60s_heavy_eye_ratio,0.0051104706302309635
temporal_30s_heavy_eye_ratio,0.003619393836288434
temporal_10s_perclos_percent,0.002447555637990587
temporal_30s_slow_blink_count,0.0022924858906259384
temporal_10s_closed_eye_ratio,0.00212026688300977
temporal_30s_head_down_duration,0.001898728089744631
temporal_30s_longest_head_down_duration,0.0017855077644773475
temporal_60s_microsleep_event_count,0.0014566309487804585
temporal_10s_slow_blink_count,0.00047942533377512425
temporal_10s_heavy_eye_ratio,0.0003851651115543789
temporal_60s_microsleep_active,0.00030742772941122097
temporal_60s_microsleep_recent,0.00022653858965895492
long_yawn_count,0.0
