feature,importance
avg_yawn_duration_60s,0.14467624
temporal_60s_perclos_percent,0.083701186
temporal_60s_closed_eye_ratio,0.07550419
yawn_count_60s,0.07390785
yawn_count_120s,0.06818261
temporal_60s_head_abnormal_duration,0.06442241
temporal_30s_heavy_eye_ratio,0.05991253
temporal_60s_longest_eye_closure,0.050153352
temporal_60s_side_look_duration,0.045127336
temporal_60s_longest_side_look_duration,0.03725096
temporal_60s_heavy_eye_ratio,0.034397084
pitch,0.033289824
temporal_60s_avg_blink_duration,0.025955046
temporal_60s_blink_rate_per_minute,0.018741066
temporal_60s_blink_count,0.01865942
roll,0.015997875
temporal_30s_longest_eye_closure,0.0140922405
temporal_30s_head_pose_instability,0.0139216995
yaw,0.012574678
temporal_30s_head_down_duration,0.010584959
temporal_30s_avg_blink_duration,0.008811096
temporal_60s_head_pose_instability,0.008221089
ear,0.00813303
temporal_60s_head_down_duration,0.007792758
temporal_30s_side_look_duration,0.0071204244
temporal_30s_head_abnormal_duration,0.0066633928
temporal_10s_avg_blink_duration,0.006661524
temporal_30s_longest_side_look_duration,0.005775639
temporal_60s_longest_head_down_duration,0.0056066485
temporal_30s_blink_rate_per_minute,0.005320136
mar,0.0051162625
temporal_60s_slow_blink_count,0.0047870786
temporal_10s_perclos_percent,0.0037078767
temporal_30s_longest_head_down_duration,0.0036682468
temporal_10s_blink_rate_per_minute,0.0036140569
temporal_30s_perclos_percent,0.0030367447
temporal_10s_closed_eye_ratio,0.0018991522
temporal_10s_longest_eye_closure,0.0016786859
temporal_30s_closed_eye_ratio,0.0013336492
temporal_10s_heavy_eye_ratio,0.0
temporal_10s_slow_blink_count,0.0
temporal_30s_slow_blink_count,0.0
temporal_60s_microsleep_recent,0.0
temporal_60s_microsleep_event_count,0.0
temporal_60s_microsleep_active,0.0
avg_yawn_duration_120s,0.0
max_yawn_duration,0.0
long_yawn_count,0.0
